subject_a,subject_b,k,jaccard,ties_included_at_boundary
abstract_algebra,anatomy,1,1.0,True
abstract_algebra,anatomy,3,0.25,True
abstract_algebra,anatomy,5,0.8,True
abstract_algebra,anatomy,10,0.6666666666666666,True
abstract_algebra,astronomy,1,0.0,True
abstract_algebra,astronomy,3,0.25,True
abstract_algebra,astronomy,5,0.5714285714285714,True
abstract_algebra,astronomy,10,0.6666666666666666,True
abstract_algebra,business_ethics,1,1.0,True
abstract_algebra,business_ethics,3,0.5,True
abstract_algebra,business_ethics,5,0.2857142857142857,True
abstract_algebra,business_ethics,10,0.6153846153846154,True
abstract_algebra,clinical_knowledge,1,1.0,True
abstract_algebra,clinical_knowledge,3,1.0,True
abstract_algebra,clinical_knowledge,5,1.0,True
abstract_algebra,clinical_knowledge,10,0.5833333333333334,True
abstract_algebra,college_biology,1,1.0,True
abstract_algebra,college_biology,3,0.6666666666666666,True
abstract_algebra,college_biology,5,0.5,True
abstract_algebra,college_biology,10,0.6666666666666666,True
abstract_algebra,college_chemistry,1,0.0,True
abstract_algebra,college_chemistry,3,0.25,True
abstract_algebra,college_chemistry,5,0.6666666666666666,True
abstract_algebra,college_chemistry,10,0.6666666666666666,True
abstract_algebra,college_computer_science,1,1.0,True
abstract_algebra,college_computer_science,3,1.0,True
abstract_algebra,college_computer_science,5,0.6666666666666666,True
abstract_algebra,college_computer_science,10,0.5833333333333334,True
abstract_algebra,college_mathematics,1,1.0,True
abstract_algebra,college_mathematics,3,1.0,True
abstract_algebra,college_mathematics,5,0.42857142857142855,True
abstract_algebra,college_mathematics,10,0.5384615384615384,True
abstract_algebra,college_medicine,1,1.0,True
abstract_algebra,college_medicine,3,0.5,True
abstract_algebra,college_medicine,5,0.6666666666666666,True
abstract_algebra,college_medicine,10,0.42857142857142855,True
abstract_algebra,college_physics,1,1.0,True
abstract_algebra,college_physics,3,0.5,True
abstract_algebra,college_physics,5,0.8,True
abstract_algebra,college_physics,10,0.46153846153846156,True
abstract_algebra,computer_security,1,0.0,True
abstract_algebra,computer_security,3,0.5,True
abstract_algebra,computer_security,5,0.6666666666666666,True
abstract_algebra,computer_security,10,0.26666666666666666,True
abstract_algebra,conceptual_physics,1,1.0,True
abstract_algebra,conceptual_physics,3,1.0,True
abstract_algebra,conceptual_physics,5,1.0,True
abstract_algebra,conceptual_physics,10,0.6666666666666666,True
abstract_algebra,econometrics,1,0.0,True
abstract_algebra,econometrics,3,0.5,True
abstract_algebra,econometrics,5,1.0,True
abstract_algebra,econometrics,10,0.7272727272727273,True
abstract_algebra,electrical_engineering,1,1.0,True
abstract_algebra,electrical_engineering,3,1.0,True
abstract_algebra,electrical_engineering,5,0.8,True
abstract_algebra,electrical_engineering,10,0.42857142857142855,True
abstract_algebra,elementary_mathematics,1,1.0,True
abstract_algebra,elementary_mathematics,3,1.0,True
abstract_algebra,elementary_mathematics,5,0.6666666666666666,True
abstract_algebra,elementary_mathematics,10,0.6666666666666666,True
abstract_algebra,formal_logic,1,1.0,True
abstract_algebra,formal_logic,3,1.0,True
abstract_algebra,formal_logic,5,0.5,True
abstract_algebra,formal_logic,10,0.6666666666666666,True
abstract_algebra,global_facts,1,0.0,True
abstract_algebra,global_facts,3,0.6666666666666666,True
abstract_algebra,global_facts,5,0.42857142857142855,True
abstract_algebra,global_facts,10,0.5833333333333334,True
abstract_algebra,high_school_biology,1,1.0,True
abstract_algebra,high_school_biology,3,0.2,True
abstract_algebra,high_school_biology,5,0.8333333333333334,True
abstract_algebra,high_school_biology,10,0.7272727272727273,True
abstract_algebra,high_school_chemistry,1,1.0,True
abstract_algebra,high_school_chemistry,3,1.0,True
abstract_algebra,high_school_chemistry,5,0.8,True
abstract_algebra,high_school_chemistry,10,0.8181818181818182,True
abstract_algebra,high_school_computer_science,1,0.0,True
abstract_algebra,high_school_computer_science,3,1.0,True
abstract_algebra,high_school_computer_science,5,0.42857142857142855,True
abstract_algebra,high_school_computer_science,10,0.5384615384615384,True
abstract_algebra,high_school_european_history,1,0.0,True
abstract_algebra,high_school_european_history,3,0.4,True
abstract_algebra,high_school_european_history,5,0.2857142857142857,True
abstract_algebra,high_school_european_history,10,0.6666666666666666,True
abstract_algebra,high_school_geography,1,0.0,True
abstract_algebra,high_school_geography,3,0.6666666666666666,True
abstract_algebra,high_school_geography,5,0.375,True
abstract_algebra,high_school_geography,10,0.46153846153846156,True
abstract_algebra,high_school_government_and_politics,1,0.0,True
abstract_algebra,high_school_government_and_politics,3,0.25,True
abstract_algebra,high_school_government_and_politics,5,0.2222222222222222,True
abstract_algebra,high_school_government_and_politics,10,0.6153846153846154,True
abstract_algebra,high_school_macroeconomics,1,1.0,True
abstract_algebra,high_school_macroeconomics,3,1.0,True
abstract_algebra,high_school_macroeconomics,5,0.6666666666666666,True
abstract_algebra,high_school_macroeconomics,10,0.8181818181818182,True
abstract_algebra,high_school_mathematics,1,1.0,True
abstract_algebra,high_school_mathematics,3,1.0,True
abstract_algebra,high_school_mathematics,5,0.6666666666666666,True
abstract_algebra,high_school_mathematics,10,0.3333333333333333,True
abstract_algebra,high_school_microeconomics,1,1.0,True
abstract_algebra,high_school_microeconomics,3,1.0,True
abstract_algebra,high_school_microeconomics,5,0.5,True
abstract_algebra,high_school_microeconomics,10,0.8181818181818182,True
abstract_algebra,high_school_physics,1,1.0,True
abstract_algebra,high_school_physics,3,0.6666666666666666,True
abstract_algebra,high_school_physics,5,0.6666666666666666,True
abstract_algebra,high_school_physics,10,0.8181818181818182,True
abstract_algebra,high_school_psychology,1,1.0,True
abstract_algebra,high_school_psychology,3,0.5,True
abstract_algebra,high_school_psychology,5,0.375,True
abstract_algebra,high_school_psychology,10,0.5833333333333334,True
abstract_algebra,high_school_statistics,1,1.0,True
abstract_algebra,high_school_statistics,3,1.0,True
abstract_algebra,high_school_statistics,5,0.6666666666666666,True
abstract_algebra,high_school_statistics,10,0.6666666666666666,True
abstract_algebra,high_school_us_history,1,1.0,True
abstract_algebra,high_school_us_history,3,0.2,True
abstract_algebra,high_school_us_history,5,0.25,True
abstract_algebra,high_school_us_history,10,0.5384615384615384,True
abstract_algebra,high_school_world_history,1,0.0,True
abstract_algebra,high_school_world_history,3,0.2,True
abstract_algebra,high_school_world_history,5,0.25,True
abstract_algebra,high_school_world_history,10,0.5833333333333334,True
abstract_algebra,human_aging,1,1.0,True
abstract_algebra,human_aging,3,0.5,True
abstract_algebra,human_aging,5,0.25,True
abstract_algebra,human_aging,10,0.46153846153846156,True
abstract_algebra,human_sexuality,1,1.0,True
abstract_algebra,human_sexuality,3,0.2,True
abstract_algebra,human_sexuality,5,0.5,True
abstract_algebra,human_sexuality,10,0.3125,True
abstract_algebra,international_law,1,0.0,True
abstract_algebra,international_law,3,0.6666666666666666,True
abstract_algebra,international_law,5,0.25,True
abstract_algebra,international_law,10,0.42857142857142855,True
abstract_algebra,jurisprudence,1,0.0,True
abstract_algebra,jurisprudence,3,0.2,True
abstract_algebra,jurisprudence,5,0.1111111111111111,True
abstract_algebra,jurisprudence,10,0.7272727272727273,True
abstract_algebra,logical_fallacies,1,0.0,True
abstract_algebra,logical_fallacies,3,0.5,True
abstract_algebra,logical_fallacies,5,0.6666666666666666,True
abstract_algebra,logical_fallacies,10,0.3333333333333333,True
abstract_algebra,machine_learning,1,0.0,True
abstract_algebra,machine_learning,3,1.0,True
abstract_algebra,machine_learning,5,0.8,True
abstract_algebra,machine_learning,10,0.6666666666666666,True
abstract_algebra,management,1,0.0,True
abstract_algebra,management,3,0.16666666666666666,True
abstract_algebra,management,5,0.125,True
abstract_algebra,management,10,0.5384615384615384,True
abstract_algebra,marketing,1,0.0,True
abstract_algebra,marketing,3,0.5,True
abstract_algebra,marketing,5,0.6666666666666666,True
abstract_algebra,marketing,10,0.35714285714285715,True
abstract_algebra,medical_genetics,1,1.0,True
abstract_algebra,medical_genetics,3,0.5,True
abstract_algebra,medical_genetics,5,0.42857142857142855,True
abstract_algebra,medical_genetics,10,0.7272727272727273,True
abstract_algebra,miscellaneous,1,1.0,True
abstract_algebra,miscellaneous,3,0.5,True
abstract_algebra,miscellaneous,5,0.6666666666666666,True
abstract_algebra,miscellaneous,10,0.5833333333333334,True
abstract_algebra,moral_disputes,1,1.0,True
abstract_algebra,moral_disputes,3,0.6666666666666666,True
abstract_algebra,moral_disputes,5,0.5,True
abstract_algebra,moral_disputes,10,0.6666666666666666,True
abstract_algebra,moral_scenarios,1,0.0,True
abstract_algebra,moral_scenarios,3,0.2,True
abstract_algebra,moral_scenarios,5,0.42857142857142855,True
abstract_algebra,moral_scenarios,10,0.8181818181818182,True
abstract_algebra,nutrition,1,0.0,True
abstract_algebra,nutrition,3,0.5,True
abstract_algebra,nutrition,5,0.42857142857142855,True
abstract_algebra,nutrition,10,0.5384615384615384,True
abstract_algebra,philosophy,1,1.0,True
abstract_algebra,philosophy,3,0.5,True
abstract_algebra,philosophy,5,0.42857142857142855,True
abstract_algebra,philosophy,10,0.5384615384615384,True
abstract_algebra,prehistory,1,0.0,True
abstract_algebra,prehistory,3,0.5,True
abstract_algebra,prehistory,5,0.6666666666666666,True
abstract_algebra,prehistory,10,0.6666666666666666,True
abstract_algebra,professional_accounting,1,1.0,True
abstract_algebra,professional_accounting,3,0.5,True
abstract_algebra,professional_accounting,5,0.6666666666666666,True
abstract_algebra,professional_accounting,10,0.7272727272727273,True
abstract_algebra,professional_law,1,1.0,True
abstract_algebra,professional_law,3,1.0,True
abstract_algebra,professional_law,5,0.42857142857142855,True
abstract_algebra,professional_law,10,1.0,True
abstract_algebra,professional_medicine,1,1.0,True
abstract_algebra,professional_medicine,3,0.5,True
abstract_algebra,professional_medicine,5,0.42857142857142855,True
abstract_algebra,professional_medicine,10,0.6666666666666666,True
abstract_algebra,professional_psychology,1,1.0,True
abstract_algebra,professional_psychology,3,0.2,True
abstract_algebra,professional_psychology,5,0.6666666666666666,True
abstract_algebra,professional_psychology,10,0.6666666666666666,True
abstract_algebra,public_relations,1,0.0,True
abstract_algebra,public_relations,3,0.5,True
abstract_algebra,public_relations,5,0.6666666666666666,True
abstract_algebra,public_relations,10,0.5,True
abstract_algebra,security_studies,1,0.0,True
abstract_algebra,security_studies,3,0.2,True
abstract_algebra,security_studies,5,0.25,True
abstract_algebra,security_studies,10,0.5384615384615384,True
abstract_algebra,sociology,1,1.0,True
abstract_algebra,sociology,3,0.5,True
abstract_algebra,sociology,5,0.6666666666666666,True
abstract_algebra,sociology,10,0.5833333333333334,True
abstract_algebra,us_foreign_policy,1,0.0,True
abstract_algebra,us_foreign_policy,3,0.3333333333333333,True
abstract_algebra,us_foreign_policy,5,0.1111111111111111,True
abstract_algebra,us_foreign_policy,10,0.26666666666666666,True
abstract_algebra,virology,1,0.0,True
abstract_algebra,virology,3,0.25,True
abstract_algebra,virology,5,0.2857142857142857,True
abstract_algebra,virology,10,0.3333333333333333,True
abstract_algebra,world_religions,1,0.0,True
abstract_algebra,world_religions,3,0.25,True
abstract_algebra,world_religions,5,0.2857142857142857,True
abstract_algebra,world_religions,10,0.42857142857142855,True
anatomy,astronomy,1,0.0,True
anatomy,astronomy,3,0.0,True
anatomy,astronomy,5,0.42857142857142855,True
anatomy,astronomy,10,0.6666666666666666,True
anatomy,business_ethics,1,1.0,True
anatomy,business_ethics,3,0.25,True
anatomy,business_ethics,5,0.3333333333333333,True
anatomy,business_ethics,10,0.5,True
anatomy,clinical_knowledge,1,1.0,True
anatomy,clinical_knowledge,3,0.25,True
anatomy,clinical_knowledge,5,0.8,True
anatomy,clinical_knowledge,10,0.7272727272727273,True
anatomy,college_biology,1,1.0,True
anatomy,college_biology,3,0.3333333333333333,True
anatomy,college_biology,5,0.6,True
anatomy,college_biology,10,1.0,True
anatomy,college_chemistry,1,0.0,True
anatomy,college_chemistry,3,0.3333333333333333,True
anatomy,college_chemistry,5,0.5,True
anatomy,college_chemistry,10,0.5384615384615384,True
anatomy,college_computer_science,1,1.0,True
anatomy,college_computer_science,3,0.25,True
anatomy,college_computer_science,5,0.5,True
anatomy,college_computer_science,10,0.7272727272727273,True
anatomy,college_mathematics,1,1.0,True
anatomy,college_mathematics,3,0.25,True
anatomy,college_mathematics,5,0.5,True
anatomy,college_mathematics,10,0.42857142857142855,True
anatomy,college_medicine,1,1.0,True
anatomy,college_medicine,3,0.6666666666666666,True
anatomy,college_medicine,5,0.5,True
anatomy,college_medicine,10,0.6666666666666666,True
anatomy,college_physics,1,1.0,True
anatomy,college_physics,3,0.25,True
anatomy,college_physics,5,0.6,True
anatomy,college_physics,10,0.46153846153846156,True
anatomy,computer_security,1,0.0,True
anatomy,computer_security,3,0.6666666666666666,True
anatomy,computer_security,5,0.5,True
anatomy,computer_security,10,0.46153846153846156,True
anatomy,conceptual_physics,1,1.0,True
anatomy,conceptual_physics,3,0.25,True
anatomy,conceptual_physics,5,0.8,True
anatomy,conceptual_physics,10,0.8181818181818182,True
anatomy,econometrics,1,0.0,True
anatomy,econometrics,3,0.25,True
anatomy,econometrics,5,0.8,True
anatomy,econometrics,10,0.9,True
anatomy,electrical_engineering,1,1.0,True
anatomy,electrical_engineering,3,0.25,True
anatomy,electrical_engineering,5,0.6,True
anatomy,electrical_engineering,10,0.5384615384615384,True
anatomy,elementary_mathematics,1,1.0,True
anatomy,elementary_mathematics,3,0.25,True
anatomy,elementary_mathematics,5,0.5,True
anatomy,elementary_mathematics,10,0.5384615384615384,True
anatomy,formal_logic,1,1.0,True
anatomy,formal_logic,3,0.25,True
anatomy,formal_logic,5,0.6,True
anatomy,formal_logic,10,0.6666666666666666,True
anatomy,global_facts,1,0.0,True
anatomy,global_facts,3,0.3333333333333333,True
anatomy,global_facts,5,0.5,True
anatomy,global_facts,10,0.5833333333333334,True
anatomy,high_school_biology,1,1.0,True
anatomy,high_school_biology,3,0.6666666666666666,True
anatomy,high_school_biology,5,0.6666666666666666,True
anatomy,high_school_biology,10,0.7272727272727273,True
anatomy,high_school_chemistry,1,1.0,True
anatomy,high_school_chemistry,3,0.25,True
anatomy,high_school_chemistry,5,0.6,True
anatomy,high_school_chemistry,10,0.8181818181818182,True
anatomy,high_school_computer_science,1,0.0,True
anatomy,high_school_computer_science,3,0.25,True
anatomy,high_school_computer_science,5,0.5,True
anatomy,high_school_computer_science,10,0.6666666666666666,True
anatomy,high_school_european_history,1,0.0,True
anatomy,high_school_european_history,3,0.0,True
anatomy,high_school_european_history,5,0.3333333333333333,True
anatomy,high_school_european_history,10,0.5384615384615384,True
anatomy,high_school_geography,1,0.0,True
anatomy,high_school_geography,3,0.3333333333333333,True
anatomy,high_school_geography,5,0.25,True
anatomy,high_school_geography,10,0.7272727272727273,True
anatomy,high_school_government_and_politics,1,0.0,True
anatomy,high_school_government_and_politics,3,0.0,True
anatomy,high_school_government_and_politics,5,0.25,True
anatomy,high_school_government_and_politics,10,0.75,True
anatomy,high_school_macroeconomics,1,1.0,True
anatomy,high_school_macroeconomics,3,0.25,True
