control,flaw_class,severity,seed,method,positive_count,AUPRC,AUROC,precision_at_k,interpretation
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8101,WITHOUT_DIFFICULTY_CORRECTION,36,0.11444104221070384,0.3598856209150327,0.09722222222222222,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8101,WITHOUT_DUPLICATE,36,0.1412036074166702,0.4426742919389978,0.09722222222222222,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8101,WITHOUT_FAMILY_BALANCING,36,0.1412036074166702,0.4426742919389978,0.09722222222222222,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8101,WITHOUT_MISSINGNESS,36,0.1412036074166702,0.4426742919389978,0.09722222222222222,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8101,WITHOUT_NEGATIVE_DISCRIMINATION,36,0.14155945223661404,0.42224945533769065,0.09722222222222222,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8101,WITHOUT_SUBJECT_RESIDUAL,36,0.21325705548264307,0.5659041394335512,0.19444444444444445,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8102,WITHOUT_DIFFICULTY_CORRECTION,36,0.1081493876355213,0.3340822440087146,0.0,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8102,WITHOUT_DUPLICATE,36,0.14304902067247957,0.3950844226579521,0.1388888888888889,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8102,WITHOUT_FAMILY_BALANCING,36,0.14304902067247957,0.3950844226579521,0.1388888888888889,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8102,WITHOUT_MISSINGNESS,36,0.14304902067247957,0.3950844226579521,0.1388888888888889,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8102,WITHOUT_NEGATIVE_DISCRIMINATION,36,0.1436322674065991,0.38201252723311546,0.1388888888888889,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
TRUE_FLAW_ABLATION,AMBIGUITY,0.4,8102,WITHOUT_SUBJECT_RESIDUAL,36,0.14656671424535736,0.4548611111111111,0.1111111111111111,EXPLORATORY_DEVELOPMENT_NOT_CONFIRMATORY_EVIDENCE
