item_id,diagnostic,diagnostic_score,standard_error,confidence_lower,confidence_upper,null_p_value,FDR_q_value,BY_q_value,bootstrap_stability,effect_size,subject,difficulty,claim_status
abstract_algebra::mmlu_abstract_algebra_id100,negative_discrimination,-0.12269443689842285,0.17708930942686107,-0.4047277275867179,0.3242168165193261,0.7744510978043913,1.0,1.0,0.228,-0.12269443689842285,abstract_algebra,0.2564102564102564,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id101,negative_discrimination,-0.34519032807745215,0.20740473009342772,-0.6515410780244396,0.1112006551655293,0.9860279441117764,1.0,1.0,0.054,-0.34519032807745215,abstract_algebra,0.3333333333333333,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id102,negative_discrimination,-0.34758864132990236,0.166568242001591,-0.6467558643332459,-0.011256129608428854,0.9800399201596807,1.0,1.0,0.022,-0.34758864132990236,abstract_algebra,0.5641025641025641,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id103,negative_discrimination,-0.29940816721126534,0.2916922272431441,-0.8022287700090599,0.2838350066382388,0.9560878243512974,1.0,1.0,0.206,-0.29940816721126534,abstract_algebra,0.8974358974358975,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id104,negative_discrimination,-0.11379597757436372,0.2101560262723665,-0.43529933424724,0.4056304579614775,0.7445109780439122,1.0,1.0,0.328,-0.11379597757436372,abstract_algebra,0.41025641025641024,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id105,negative_discrimination,-0.3311118419768987,0.1759759214209336,-0.6340065942828788,0.03021766056592128,0.9680638722554891,1.0,1.0,0.044,-0.3311118419768987,abstract_algebra,0.28205128205128205,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id106,negative_discrimination,-0.31216824188904935,0.1518554273385494,-0.6178183869014346,-0.0,0.9840319361277445,1.0,1.0,0.08,-0.31216824188904935,abstract_algebra,0.07692307692307693,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id107,negative_discrimination,-0.18017713968862956,0.22428769638584622,-0.5876641451892984,0.2615602640128125,0.8702594810379242,1.0,1.0,0.244,-0.18017713968862956,abstract_algebra,0.8205128205128205,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id108,negative_discrimination,-0.41433431491175104,0.24106019021780875,-0.7591421392558612,0.09489678796186476,0.998003992015968,1.0,1.0,0.076,-0.41433431491175104,abstract_algebra,0.41025641025641024,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id109,negative_discrimination,-0.18335848726006557,0.1914243965670413,-0.583524310224183,0.17647421626946122,0.8922155688622755,1.0,1.0,0.152,-0.18335848726006557,abstract_algebra,0.10256410256410256,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id110,negative_discrimination,-0.5366876309036952,0.11115686104651816,-0.7293531770123343,-0.3101385786553539,1.0,1.0,1.0,0.0,-0.5366876309036952,abstract_algebra,0.38461538461538464,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id111,negative_discrimination,0.024959253808598227,0.2001706382997343,-0.31783224746949756,0.4947680251407971,0.405189620758483,1.0,1.0,0.558,0.024959253808598227,abstract_algebra,0.15384615384615385,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id112,negative_discrimination,-0.0037227258125864314,0.28076986609547544,-0.5994706349282687,0.46980781461037974,0.47704590818363274,1.0,1.0,0.438,-0.0037227258125864314,abstract_algebra,0.23076923076923078,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id113,negative_discrimination,-0.3459759863865202,0.17411119174743653,-0.6778227388296983,-0.0,0.9940119760479041,1.0,1.0,0.028,-0.3459759863865202,abstract_algebra,0.20512820512820512,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id114,negative_discrimination,0.09277730805184216,0.15647639122695456,-0.15295356157433077,0.41317531270896835,0.23552894211576847,1.0,1.0,0.726,0.09277730805184216,abstract_algebra,0.07692307692307693,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id115,negative_discrimination,-0.3729914997393613,0.1509887106121887,-0.6502227800959075,-0.029583927880441688,0.9880239520958084,1.0,1.0,0.016,-0.3729914997393613,abstract_algebra,0.358974358974359,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id16,negative_discrimination,-0.019784451599553575,0.21795399176860014,-0.47598170434385517,0.3772295680527245,0.5429141716566867,1.0,1.0,0.47,-0.019784451599553575,abstract_algebra,0.5897435897435898,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id17,negative_discrimination,-0.4020831231963114,0.17862992786583434,-0.675394557413469,-0.01683630855231462,1.0,1.0,1.0,0.02,-0.4020831231963114,abstract_algebra,0.3076923076923077,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id18,negative_discrimination,-0.5041264744817543,0.1332205879631002,-0.7325062717828719,-0.20856615827596545,1.0,1.0,1.0,0.0,-0.5041264744817543,abstract_algebra,0.5384615384615384,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id19,negative_discrimination,-0.37845980714047855,0.24846850762378783,-0.7660313658992642,0.15297010668874508,0.9920159680638723,1.0,1.0,0.08,-0.37845980714047855,abstract_algebra,0.5128205128205128,EXPLORATORY_ONLY
abstract_algebra::mmlu_abstract_algebra_id20,negative_discrimination,-0.19869097757203313,0.2503006911454979,-0.5856420659171131,0.3212428666848808,0.8782435129740519,1.0,1.0,0.248,-0.19869097757203313,abstract_algebra,0.5897435897435898,EXPLORATORY_ONLY
