item_id,full_winner,winner_without_item,winner_changed,top_k_changed,top_k_jaccard,maximum_absolute_model_score_change,winner_runner_pairwise_change
abstract_algebra::mmlu_abstract_algebra_id100,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.179128632999298e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id101,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.698817148525048e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id102,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.661284888902607e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id103,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.698817148525048e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id104,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.775403245833477e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id105,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.775403245833477e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id106,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.046751338972811e-05,-6.989622563535747e-05
abstract_algebra::mmlu_abstract_algebra_id107,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.511155850468352e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id108,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.603464921399848e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id109,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.933140174740892e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id110,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.603464921399848e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id111,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.179128632999298e-05,7.25437715158872e-05
abstract_algebra::mmlu_abstract_algebra_id112,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.046751338972811e-05,-6.989622563535747e-05
abstract_algebra::mmlu_abstract_algebra_id113,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.775403245833477e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id114,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.179128632999298e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id115,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.893071951645901e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id16,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.046751338972811e-05,-6.989622563535747e-05
abstract_algebra::mmlu_abstract_algebra_id17,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.661284888902607e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id18,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.661284888902607e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id19,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.5157205847478075e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id20,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.179128632999298e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id21,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.046751338972811e-05,-6.989622563535747e-05
abstract_algebra::mmlu_abstract_algebra_id22,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,5.698817148525048e-05,1.3237729402648668e-06
abstract_algebra::mmlu_abstract_algebra_id23,deepseek-ai/deepseek-v3,deepseek-ai/deepseek-v3,False,False,1.0,6.179128632999298e-05,1.3237729402648668e-06
